# ID  MV   B-V
 72  0.08  0.18
 70  0.19  1.01
 28  0.33  0.99
 41  0.44  0.98
 71  0.52  0.96
169  0.79  0.15
 54  0.89  0.14
104  0.94  0.12
 60  0.96  0.27
 56  0.97  0.05
141  1.15  0.25
129  1.31  0.15
 95  1.33  0.24
108  1.35  0.16
 82  1.45  0.17
 47  1.47  0.16
 74  1.70  0.23
123  1.77  0.21
 55  1.95  0.25
112  2.04  0.19
107  2.06  0.25
111  2.07  0.25
 84  2.07  0.26
130  2.10  0.24
160  2.13  0.36
 83  2.15  0.26
168  2.21  0.22
 80  2.25  0.32
 30  2.26  0.28
 45  2.31  0.30
 24  2.32  0.28
 38  2.39  0.32
 67  2.39  0.27
 14  2.40  0.36
103  2.46  0.31
157  2.46  0.44
154  2.47  0.41
137  2.56  0.32
 68  2.57  0.32
  6  2.64  0.34
 53  2.64  0.37
 11  2.68  0.40
131  2.68  0.27
 89  2.69  0.34
100  2.69  0.38
 32  2.78  0.37
 34  2.84  0.46
124  2.94  0.50
 20  2.99  0.40
  8  3.04  0.42
126  3.04  0.29
 90  3.07  0.41
 57  3.13  0.49
 85  3.18  0.43
 75  3.26  0.53
 37  3.28  0.41
 13  3.29  0.42
 94  3.29  0.43
101  3.32  0.43
128  3.42  0.45
122  3.43  0.54
 35  3.47  0.44
 36  3.47  0.44
 29  3.55  0.56
 78  3.59  0.45
 51  3.64  0.44
 40  3.66  0.56
 77  3.72  0.50
 86  3.72  0.46
 16  3.73  0.42
 81  3.77  0.47
119  3.79  0.56
 19  3.81  0.51
 48  3.81  0.52
 44  3.86  0.45
146  3.91  0.53
113  3.93  0.55
121  3.96  0.50
120  4.01  0.74
 61  4.05  0.51
 62  4.05  0.54
  1  4.07  0.57
 65  4.09  0.54
 31  4.14  0.57
 59  4.16  0.54
 66  4.18  0.56
 58  4.20  0.68
105  4.20  0.58
102  4.21  0.60
 23  4.21  0.68
 50  4.29  0.60
118  4.41  0.58
  2  4.45  0.62
 88  4.45  0.54
 52  4.47  0.60
162  4.51  0.71
 73  4.52  0.61
 10  4.52  0.59
 39  4.53  0.68
143  4.57  0.53
 97  4.61  0.63
106  4.63  0.67
158  4.70  0.61
 63  4.73  0.63
 18  4.73  0.64
 15  4.76  0.66
 64  4.79  0.66
 49  4.91  0.59
138  4.96  0.87
325  5.00  0.68
 22  5.01  0.77
142  5.01  0.67
  3  5.02  0.75
 17  5.13  0.70
 27  5.13  0.72
149  5.17  0.62
 96  5.18  0.84
165  5.19  0.62
114  5.21  0.72
132  5.21  0.67
 87  5.25  0.74
 26  5.30  0.74
 69  5.31  0.75
 92  5.33  0.74
  9  5.34  0.71
150  5.46  1.04
 42  5.53  0.76
110  5.53  0.69
  4  5.55  0.85
127  5.56  0.74
153  5.58  0.86
182  5.60  0.84
140  5.61  0.76
 91  5.61  0.88
 79  5.63  0.83
187  5.64  0.76
  7  5.65  0.90
135  5.65  0.89
178  5.67  0.84
116  5.68  0.82
176  5.68  0.94
351  5.68  0.77
276  5.72  0.84
161  5.72  0.84
115  5.76  0.84
180  5.77  0.85
 46  5.78  0.87
 21  5.82  0.82
 76  5.87  0.76
152  5.92  0.94
228  5.96  0.89
321  5.98  0.89
145  6.00  0.78
  5  6.03  0.92
 99  6.05  0.85
 43  6.07  0.91
109  6.07  0.82
 93  6.07  0.88
271  6.13  1.03
312  6.14  1.09
185  6.15  1.11
179  6.19  0.93
337  6.20  1.41
285  6.23  0.97
328  6.25  0.97
 25  6.27  0.99
117  6.34  1.07
183  6.36  0.91
206  6.40  0.92
259  6.48  1.18
220  6.49  1.14
324  6.50  1.06
319  6.52  1.00
320  6.54  0.99
318  6.58  1.12
151  6.60  0.95
229  6.61  0.99
186  6.65  1.40
174  6.66  1.06
253  6.68  1.11
240  6.68  0.98
311  6.71  1.08
222  6.80  1.07
304  6.84  1.15
275  6.84  1.07
170  6.88  1.19
211  6.90  1.16
175  6.97  1.03
181  6.99  1.17
273  7.10  1.10
231  7.15  1.18
173  7.16  1.24
269  7.19  1.37
289  7.19  1.09
177  7.24  1.12
290  7.34  1.24
330  7.35  1.11
190  7.38  1.36
291  7.41  1.19
207  7.46  1.39
251  7.49  1.23
262  7.57  1.30
326  7.58  1.28
344  7.61  1.17
357  7.64  1.12
288  7.69  1.22
191  7.70  1.29
286  7.73  1.36
202  7.79  1.42
189  7.80  1.37
223  7.89  1.41
331  7.90  1.41
316  7.91  1.46
233  7.94  1.32
348  8.05  1.37
309  8.08  1.38
226  8.09  1.34
303  8.18  1.37
332  8.20  1.36
245  8.23  1.38
294  8.42  1.41
362  8.48  1.38
247  8.58  1.44
315  8.70  1.40
214  8.77  1.39
283  9.04  1.36
252  9.07  1.43
260  9.22  1.49
244  9.45  1.58
257  9.49  1.50
221  9.63  1.55
219  9.65  1.46
213  9.70  1.50
264  9.89  1.63
278  9.92  1.49
310 10.27  1.45
280 10.49  1.47
363 10.50  1.54
255 10.53  1.56
250 10.55  1.57
243 10.80  1.54
249 11.12  1.57
239 11.43  1.64
300 11.59  1.48
261 11.76  1.66
