#  ID  MV   B-V
   25  3.80  0.48
   34  6.36  0.94
   97  6.83  1.08
  102  4.84  0.71
  120  5.12  0.70
  129  5.80  0.88
  134  8.77  1.40
  152  5.08  0.70
  153  1.84  0.15
  157  2.23  0.34
  158  2.56  0.25
  164  3.87  0.48
  173  5.19  0.85
  174  5.95  0.85
  189  8.25  1.46
  193  5.62  0.81
  212  8.90  1.31
  232  2.39  0.20
  233  3.99  0.52
  248  5.35  0.77
  250  5.01  0.68
  253  4.99  0.68
  263  5.87  0.88
  293  5.13  0.70
  296  5.79  0.84
  303  4.81  0.89
  314  4.89  0.64
  320  5.37  0.88
  338  3.40  0.46
  344  2.50  0.27
  345  5.90  0.84
  347  8.34  1.57
  357  7.79  1.44
  370  8.89  1.18
  380  7.52  1.39
  390  8.73  1.16
  405  4.16  0.54
  430  5.73  0.85
  447 -0.21 -0.04
  451  7.58  1.43
  468 -1.96 -0.11
  470  3.28  0.39
  476  5.14  0.80
  489  4.72  0.63
  513  8.09  1.30
  514  5.02  0.69
  522  6.26  0.94
  530  3.28  0.39
  531  2.91  0.34
  541 -0.02 -0.07
  563 -1.36 -0.11
  571  5.53  0.78
  605  3.32  0.44
  624  9.75  1.40
  625  6.90  1.10
  627  4.01  0.50
  636  6.81  1.06
  652  2.37  0.21
  676  7.89  1.30
  686  7.95  1.04
  697  2.93  0.35
  708  4.46  0.62
  717  1.51  0.16
  727  4.03  0.55
  738  6.59  1.16
  739  3.89  0.62
  745  3.78  0.52
  746  5.60  0.92
  761  4.88  0.67
  762  8.81  1.32
  785 -1.79 -0.07
  799  7.89  1.58
  801  1.18  0.04
  804  2.18  0.20
  817  0.09 -0.04
  859  0.76 -0.02
  870  7.05  1.24
  879  7.04  1.04
  882  6.99  1.07
  885  6.38  1.01
  890  9.13  1.33
  906  9.57  1.44
  915  7.95  1.23
  916  6.04  0.87
  923  4.45  0.62
  930  8.57  1.30
  948  2.99  0.60
  956  2.29  0.32
  974  8.43  1.34
  975  4.89  0.81
  980 -1.49 -0.06
  996  4.75  0.64
 1015  4.87  0.65
 1028  1.68  0.10
 1029  8.63  1.54
 1032  5.67  0.86
 1039  7.30  1.07
 1061  8.65  1.23
 1081  9.07  1.60
 1084  2.44  0.36
 1095  6.25  0.88
 1100  6.49  1.15
 1101  4.59  0.61
 1103  9.14  1.47
 1110  8.02  1.10
 1114  8.37  1.48
 1117  4.53  0.73
 1122  3.62  0.46
 1124  6.45  0.92
 1132  3.75  0.49
 1136  6.35  0.99
 1139  3.71  0.48
 1173  9.53  1.46
 1182  4.79  0.64
 1200  4.23  0.54
 1207  4.80  0.62
 1215  4.85  0.65
 1220  6.07  0.88
 1234  1.15  0.02
 1266  3.15  0.36
 1275  5.80  0.84
 1280  8.89  1.18
 1284  2.70  0.30
 1298  6.51  1.02
 1305  7.79  1.18
 1306  7.72  1.35
 1309  3.79  0.47
 1321  9.49  1.45
 1332  6.74  1.04
 1338  3.02  0.46
 1348  6.94  1.18
 1355  8.30  1.23
 1362  2.58  0.26
 1375  0.62  0.02
 1380  1.32  0.03
 1384  1.99  0.21
 1397  1.59  0.05
 1407  2.46  0.25
 1425  2.10  0.15
 1431  1.14  0.06
 1432 -2.80 -0.09
 1454  7.11  1.16
 1485  8.63  1.43
 1512  7.83  1.37
 1514  4.81  0.64
 1516  8.35  1.31
 1531  7.63  1.15
 1532  8.28  1.26
 1553  6.55  1.06
 1593  5.45  0.75
 1613  4.21  0.54
 1653  7.64  1.45
 1726  3.58  0.55
 1756  8.57  1.46
 1762  2.60  0.36
 1766  3.46  0.47
 1776  5.24  0.72
 1785  8.67  1.50
 1797  4.44  0.56
 1823 -0.22 -0.07
 1827  9.19  1.48
 1856  4.35  0.56
 1876  1.28  0.12
 1883  6.93  1.06
 1912  3.38  0.49
 1924  4.66  0.62
 1993  2.70  0.29
 2016  7.85  1.22
 2027  5.24  0.86
 2106  5.86  0.86
 2126  5.97  0.86
 2147  5.16  0.80
 2168 -2.03 -0.08
 2172  4.77  0.62
 2181 -0.58 -0.08
 2193  8.49  1.32
 2195  2.45  0.22
 2208  8.46  1.61
 2209  8.71  1.47
 2220  1.85  0.10
 2244  7.00  1.04
 2263  0.93 -0.03
 2278  5.16  0.86
 2284  5.68  0.78
 2289  2.30  0.18
 2311  5.69  0.83
 2341  5.20  0.71
 2345  3.43  0.44
 2366  5.86  0.82
 2368  8.38  1.51
 2406  5.43  0.76
 2407  6.62  1.10
 2415  2.43  0.22
 2425  0.50 -0.05
 2462  5.88  0.83
 2488  1.87  0.08
 2506  4.56  0.60
 2548  8.31  1.58
 2588  7.43  1.22
 2601  9.32  1.55
 2644  5.36  0.73
